district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Tapi, GJ",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarn Taran, PB",155.0,,,,,,,,,,29.58,52.31,54.09,61.7,61.2,59.63,17.33,13.1,3.12,1.54,1.24,0.95,0.67,0.66,0.66,0.52
"Tawang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tehri Garhwal, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tengnoupal, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tenkasi, TN",72.0,,,,,100.0,0.0,0.0,0.0,0.0,30.0,31.33,32.58,33.76,34.87,4.87,3.54,2.29,1.11,1.05,2.05,6.81,10.66,12.6,15.07,15.07
"Thane, MH",4402.0,,,,100.64,25.28,11.77,11.5,10.63,10.88,8.6,6.59,11.87,17.04,17.83,19.95,21.53,16.67,12.72,12.27,11.04,10.17,10.91,10.31,9.58,7.66
"Thanjavur, TN",75.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,43.33,47.33,50.67,33.52,26.02,14.91,12.91,11.4,10.21,9.25,7.02,5.02,3.21
"The Dangs, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"The Nilgiris, TN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Theni, TN",89.0,,,,,,,,,,,,,,,,,51.8,24.88,27.55,21.88,19.14,16.27,14.68,9.39,9.04
"Thiruvallur, TN",571.0,,,,41.39,23.39,15.21,18.54,24.93,24.25,28.67,37.67,39.6,44.55,52.76,48.6,41.47,35.97,23.47,14.91,13.3,9.87,3.87,3.27,2.85,2.5
"Thiruvananthapuram, KL",20.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Thiruvarur, TN",32.0,,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thoothukudi, TN",90.0,,,,,,,,,,,,,,,,,,40.0,46.67,61.67,87.38,97.38,68.21,69.66,56.96
"Thoubal, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Thrissur, KL",25.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tikamgarh, MP",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tinsukia, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tirap, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tiruchirappalli, TN",68.0,,,,,,,,,,,,,,,,72.86,52.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tirunelveli, TN",227.0,,,,,,,,,,,,,,,,,115.01,55.72,39.17,26.08,21.92,33.93,35.87,34.3,27.74
"Tirupathur, TN",29.0,,,,,,,,,,,,,,,,63.22,43.22,23.22,18.22,2.22,0.0,0.0,0.0,0.0,0.0
"Tiruppur, TN",114.0,,,,,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tiruvannamalai, TN",154.0,,,,30.0,10.0,0.0,0.0,0.0,0.0,73.33,74.76,76.1,97.35,104.01,37.5,36.41,35.41,18.42,17.97,12.8,13.03,14.0,10.26,4.72,3.07
"Tonk, RJ",154.0,,,,57.67,39.89,31.89,25.22,20.22,4.22,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,3.48,5.02,5.74,6.43,5.28,4.9,4.57,6.72
"Tuensang, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Tumakuru, KA",11.0,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Udaipur, RJ",417.0,,,,,,,,30.0,43.33,35.83,35.83,35.83,35.83,133.61,138.17,144.69,152.72,157.64,29.62,27.36,23.33,15.82,11.88,9.92,5.94
"Udalguri, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Udham Singh Nagar, UT",23.0,,,,,,,,,,,,,,,,,,,,17.69,21.58,23.73,22.75,22.0,21.41
"Udhampur, JK",28.0,,,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,10.0,16.67,21.67,25.67,32.33
"Udupi, KA",15.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Ujjain, MP",362.0,,,,21.18,7.3,9.53,10.42,13.02,16.96,17.12,16.5,18.07,14.4,10.82,10.16,8.89,7.72,6.82,5.69,5.48,5.32,3.66,3.24,3.6,4.17
"Ukhrul, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Umaria, MP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Una, HP",18.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Unnao, UP",6.0,,,,,,,,,,,,,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
"Unokoti, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper Dibang Valley, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Upper Subansiri, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Uttar Bastar Kanker, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Uttar Dinajpur, WB",13.0,,,,,,,,,,,,,,,,,,,,,,,,,56.67
"Uttara Kannada, KA",55.0,,,,,,,,,,,,,,,,,46.09,27.76,19.3,11.36,6.88,5.94,5.1,7.16,7.57
"Uttarkashi, UT",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Vadodara, GJ",700.0,,,,36.96,33.34,30.14,31.19,29.98,24.88,23.42,19.55,16.49,14.87,12.75,10.0,9.5,9.74,9.55,8.38,6.88,5.88,4.93,4.31,4.3,4.39
"Vaishali, BR",15.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Valsad, GJ",15.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,80.0
"Varanasi, UP",117.0,,,,45.67,29.0,21.86,16.26,12.28,9.25,8.07,7.15,8.36,8.94,9.44,8.07,6.32,4.6,3.19,2.26,1.82,2.15,1.76,1.74,2.69,3.42
"Vellore, TN",35.0,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0,10.0,0.0,0.0,0.0
"Vidisha, MP",15.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Vijayapura, KA",60.0,,,,,29.0,21.86,17.69,17.13,16.77,16.51,16.32,16.18,12.79,10.15,8.02,7.18,6.49,6.98,7.4,7.12,5.95,4.9,3.97,5.48,5.33
"Vikarabad, TG",37.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Viluppuram, TN",312.0,,,,62.02,44.25,36.25,11.4,11.87,56.52,75.15,78.35,77.36,81.17,36.48,22.61,17.87,17.12,10.05,8.12,1.14,0.68,0.6,0.6,0.15,0.15
"Virudhunagar, TN",55.0,,,,,86.67,46.67,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.82,3.48,5.02,10.74,10.74,8.92,7.25,6.83,5.32,7.93,8.7
"Visakhapatnam, AP",76.0,,,,,,,,,,,52.33,35.19,23.94,28.51,27.45,24.63,23.27,14.52,4.95,2.01,1.5,1.86,3.14,3.54,3.54
"Vizianagaram, AP",8.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Wanaparthy, TG",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Warangal Rural, TG",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Warangal Urban, TG",27.0,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Wardha, MH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Washim, MH",3.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"Wayanad, KL",21.0,,,,,,,,,,,,,,30.0,10.0,0.0,6.67,11.67,15.67,25.67,36.78,30.11,25.11,21.11,11.11
"West Champaran, BR",25.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"West District, SK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"West Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"West Godavari, AP",72.0,,,,,,,,43.0,23.0,13.0,6.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,6.91,9.64,12.04,12.04
"West Jaintia Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"West Kameng, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"West Karbi Anglong, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"West Khasi Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"West Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"West Singhbhum, JH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"West Tripura, TR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Wokha, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Y.S.R., AP",104.0,,,,48.08,34.23,28.94,24.65,24.65,24.65,24.65,21.69,18.75,16.59,12.44,7.27,6.31,5.62,1.62,1.07,0.53,1.03,1.51,2.47,3.37,3.37
"Yadadri Bhuvanagiri, TG",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Yadgir, KA",11.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Yamunanagar, HR",8.0,,,,,,,,,,,,,,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yanam, PY",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Yavatmal, MH",100.0,,,,99.63,84.97,74.97,8.3,6.76,5.33,0.0,0.0,1.05,2.05,3.01,3.91,4.78,4.15,3.56,3.0,2.09,1.22,0.81,0.4,0.0,0.0
"Zunheboto, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
